Model,MAE,R2
XGBoost_Diamonds_XGBRegressor_1719517235.pkl,346.6494683397557,0.9627054547126169
LinearModel_Diamonds_Lasso_1719517236.pkl,820.365054431687,0.9044803646443939
XGBoost_Diamonds_XGBRegressor_optimized_1719517237.pkl,377.7720678325645,0.9622844235365585
XGBoost_Diamonds_XGBRegressor_1719605718.pkl,346.6494683397557,0.9627054547126169
LinearModel_Diamonds_Lasso_1719605719.pkl,820.365054431687,0.9044803646443939
XGBoost_Diamonds_XGBRegressor_optimized_1719605720.pkl,488.82340879382974,0.9486078792688356
